_key,alternativeNames,createdAt,gadm,geojson.geometry.type,geojson.geometry.coordinates,geojson.type,geojson.properties,issues,name,social.rating,social.totalComments,touristic,type,updatedAt
"1075",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.1_1","Point",[-89.758611,20.7125],"Feature",{},["GEOTAG_NOT_VERIFIED"],"X",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"1076",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.101_1","Point",[-89.786944,20.748611],"Feature",{},["GEOTAG_NOT_VERIFIED"],"X",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"1077",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.101_1","Point",[-89.8025,20.755],"Feature",{},["GEOTAG_NOT_VERIFIED"],"X-kulam",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"1078",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.101_1","Point",[-89.784444,20.745277],"Feature",{},["GEOTAG_NOT_VERIFIED"],"Yu",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"1079",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.80_1","Point",[-89.285555,20.503333],"Feature",{},["GEOTAG_NOT_VERIFIED"],"X",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"108",[],"2017-06-23T06:00:00.000Z","Gadm/MEX.31.45_1","Point",[-89.89561,20.6497],"Feature",{},[],"Santito",4.345454545454546,220,true,"CENOTE","2021-05-16T23:59:17.680Z"
"1080",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.49_1","Point",[-89.282222,20.490555],"Feature",{},["GEOTAG_NOT_VERIFIED"],"Yax-cheil",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"1081",[],"2019-06-27T00:00:00.000Z","Gadm/MEX.31.27_1","Point",[-89.014722,21.373722],"Feature",{},["GEOTAG_NOT_VERIFIED"],"Lagunita(Manantial)",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"1082",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.27_1","Point",[-89.024722,21.339444],"Feature",{},["GEOTAG_NOT_VERIFIED"],"Rosita",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"1083",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.27_1","Point",[-89.010277,21.237777],"Feature",{},["GEOTAG_NOT_VERIFIED"],"Sakala",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"1084",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.27_1","Point",[-89.03,21.3275],"Feature",{},["GEOTAG_NOT_VERIFIED"],"Santa Rita",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"1085",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.27_1","Point",[-89.020277,21.354444],"Feature",{},["GEOTAG_NOT_VERIFIED"],"Santo Domingo",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"1086",[],"2019-06-27T00:00:00.000Z","Gadm/MEX.31.29_1","Point",[-88.705,21.343055],"Feature",{},["GEOTAG_NOT_VERIFIED"],"Boxdzonot",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"1087",[],"2019-06-27T00:00:00.000Z","Gadm/MEX.31.28_1","Point",[-88.82594,21.40062],"Feature",{},["GEOTAG_NOT_VERIFIED"],"Elepeten",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"1088",[],"2019-06-27T00:00:00.000Z","Gadm/MEX.31.28_1","Point",[-88.700555,21.367222],"Feature",{},["GEOTAG_NOT_VERIFIED"],"X",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"1089",[],"2019-06-27T00:00:00.000Z","Gadm/MEX.31.28_1","Point",[-88.700555,21.367222],"Feature",{},["GEOTAG_NOT_VERIFIED"],"X",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"109",[],"2017-06-23T06:00:00.000Z","Gadm/MEX.31.20_1","Point",[-89.876066,20.689484],"Feature",{},[],"Chen ha",4.238095238095238,63,true,"CENOTE","2021-05-16T23:59:17.680Z"
"1090",[],"2019-06-27T00:00:00.000Z","Gadm/MEX.31.29_1","Point",[-88.5825,21.397777],"Feature",{},["GEOTAG_NOT_VERIFIED"],"X",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"1091",[],"2019-06-27T00:00:00.000Z","Gadm/MEX.31.6_1","Point",[-88.4725,21.371944],"Feature",{},["GEOTAG_NOT_VERIFIED"],"Del Álamo",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"1092",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.6_1","Point",[-88.509444,21.385],"Feature",{},["GEOTAG_NOT_VERIFIED"],"Dzidzilche (Aguada)",,0,false,"WATERY","2021-05-16T23:59:17.680Z"
"1093",[],"2019-06-27T00:00:00.000Z","Gadm/MEX.31.6_1","Point",[-88.472222,21.378611],"Feature",{},["GEOTAG_NOT_VERIFIED"],"Dzonot Juez",4.369047619047619,84,true,"NO_TYPE","2021-05-16T23:59:17.680Z"
"1094",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.29_1","Point",[-88.888333,21.313611],"Feature",{},["GEOTAG_NOT_VERIFIED"],"Esperanza(Aguada)",,0,false,"WATERY","2021-05-16T23:59:17.680Z"
"1095",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.6_1","Point",[-88.5275,21.362777],"Feature",{},["GEOTAG_NOT_VERIFIED"],"Girasol",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"1096",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.28_1","Point",[-88.718888,21.391666],"Feature",{},["GEOTAG_NOT_VERIFIED"],"La Lupita",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"1097",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.29_1","Point",[-88.9025,21.304722],"Feature",{},["GEOTAG_NOT_VERIFIED"],"Manuela",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"1098",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.29_1","Point",[-88.889722,21.311944],"Feature",{},["GEOTAG_NOT_VERIFIED"],"Manuela (Aguada)",,0,false,"WATERY","2021-05-16T23:59:17.680Z"
"1099",[],"2019-06-27T06:00:00.000Z","Gadm/MEX.31.29_1","Point",[-88.711388,21.343888],"Feature",{},["GEOTAG_NOT_VERIFIED"],"Noh ayim",,0,false,"NO_TYPE","2021-05-16T23:59:17.680Z"
"11",[],"2015-09-15T06:00:00.000Z","Gadm/MEX.31.76_1","Point",[-89.403609,20.640652],"Feature",{},[],"Suem",4.583333333333333,84,true,"CENOTE","2021-05-16T23:59:17.680Z"
